2025-07-30 01:59:41.331 | INFO     | __main__:get_school_info:65 - 第84页数据插入成功，插入30条数据
2025-07-30 01:59:41.716 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:42.006 | INFO     | __main__:get_school_info:65 - 第85页数据插入成功，插入30条数据
2025-07-30 01:59:42.338 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:42.626 | INFO     | __main__:get_school_info:65 - 第86页数据插入成功，插入30条数据
2025-07-30 01:59:42.949 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:43.230 | INFO     | __main__:get_school_info:65 - 第87页数据插入成功，插入30条数据
2025-07-30 01:59:43.571 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:43.863 | INFO     | __main__:get_school_info:65 - 第88页数据插入成功，插入30条数据
2025-07-30 01:59:44.152 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:44.155 | ERROR    | __main__:get_school_info:69 - 第89页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:44.450 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:44.453 | ERROR    | __main__:get_school_info:69 - 第90页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:44.741 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:44.744 | ERROR    | __main__:get_school_info:69 - 第91页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:45.019 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:45.021 | ERROR    | __main__:get_school_info:69 - 第92页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:45.316 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:45.318 | ERROR    | __main__:get_school_info:69 - 第93页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:45.606 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:45.608 | ERROR    | __main__:get_school_info:69 - 第94页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:45.896 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:45.898 | ERROR    | __main__:get_school_info:69 - 第95页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:46.182 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:46.184 | ERROR    | __main__:get_school_info:69 - 第96页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:46.496 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:46.499 | ERROR    | __main__:get_school_info:69 - 第97页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:46.793 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:46.796 | ERROR    | __main__:get_school_info:69 - 第98页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:47.101 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:47.103 | ERROR    | __main__:get_school_info:69 - 第99页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:47.387 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:47.390 | ERROR    | __main__:get_school_info:69 - 第100页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:47.789 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:47.791 | ERROR    | __main__:get_school_info:69 - 第101页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:48.099 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:48.101 | ERROR    | __main__:get_school_info:69 - 第102页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:48.390 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:48.393 | ERROR    | __main__:get_school_info:69 - 第103页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:48.700 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:48.703 | ERROR    | __main__:get_school_info:69 - 第104页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:48.987 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:48.990 | ERROR    | __main__:get_school_info:69 - 第105页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:49.278 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:49.280 | ERROR    | __main__:get_school_info:69 - 第106页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:49.590 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:49.593 | ERROR    | __main__:get_school_info:69 - 第107页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:49.885 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:49.887 | ERROR    | __main__:get_school_info:69 - 第108页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:50.169 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:50.171 | ERROR    | __main__:get_school_info:69 - 第109页数据获取失败，原因：'str' object has no attribute 'get'
2025-07-30 01:59:50.468 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
